Summary							
		
				tyAlmTxt  	No of 		No of 		Total 				
No	Module		Range		Alarm 		Recovery 	No of 		MIN			MAX
							Text		Text		Text
1	AWOpen		200			50			50			100			1			200
2	AWClose		200			50			50			100			201			400
3	MagAWOpen	200			51			51			102			401			600
4	Trav		300			117			117			234			601			900
5	LifterBtm	300			265			265			530			901			1200
6	Conv		200			125			125			250			1201		1400
7	DCConv		100			30			30			60			1401		1500
8	MagConv		100			47			47			94			1501		1600
9	MagConv2Clp	100			46			46			92			1601		1700
10	Buffer		100			92			92			184			1701		1800
11	MotorBrk	100			8			8			16			1801		1900
12	MtrPshr		100			7			7			14			1901		2000
13	Stepper		100			47			47			94			2001		2100
14	PneuNoSen	50			6			6			12			2101		2150
15	PneuExtSen	50			6			6			12			2151		2200
16	PneuRetSen	50			6			6			12			2201		2250
17	Pneu2Sen	50			6			6			12			2251		2300
18	Pneu3Sen	100			20			20			40			2301		2400
19	USSMEMA		100			8			8			16			2401		2500
20	DSSMEMA		100			8			8			16			2501		2600
21	Hermes		200			20			20			40			2601		2800
22	USHermes	250			160			160			320			2801		3050
23	DSHermes	250			133			133			266			3051		3300
24	RmtHermes	200			133			133			266			3301		3500
25	LFLeader	100			5			5			10			3501		3600
26	LFFollower	100			4			4			8			3601		3700
27	LCS			100			0			0			0			3701		3800
28	LCSLF		100			0			0			0			3801		3900
29	LCSMngRcp	100			0			0			0			3901		4000
30	TCP			100			48			48			96			4001		4100
31	USSOT		100			4			4			8			4101		4200
32	DSSOT		100			4			4			8			4201		4300
33	BarcodeRdr	100			17			17			34			4301		4400
34	RS232Mirtec	100			12			12			24			4401		4500
35	ProdRcp		100			43			43			86			4501		4600
36	MagRcp		100			33			33			66			4601		4700
37	MpProdRcp	50			6			6			12			4701		4750
38	Alarm		100			35			35			70			4751		4850
39	NtParam		100			15			15			30			4851		4950
40	McParam		100			10			10			20			4951		5050
41	UsrMgmt		100			26			26			52			5051		5150
42	LibVer		100			17			17			34			5151		5250
43	UsrFolder	100			4			4			8			5251		5350
44	HWInfo		100			7			7			14			5351		5450
45	DInput		100			2			2			4			5451		5550
46	Time		100			7			7			14			5551		5650
47	Machine		100			2			2			4			5651		5750
48	Ops1		50			0			0			0			5751		5800
							
Total 			5800		1742		1742		3484		
